Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;BARBARA ANTOLIÆ VUPORA;RADIMIR ÈAÈIÆ;MARIO LEŠINA;KRUNOSLAV LUKAÈIÆ;DENIS MLADENOVIÆ;DARKO NOVOSELEC;ANÐELKO STRIÈAK
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;008;KUÆAN LUDBREŠKI;DRUŠTVENI DOM;KUÆAN LUDBREŠKI 2D;149;78;78;71;7;18;12;8;4;6;6;17
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;009;HRASTOVSKO;DRUŠTVENI DOM, HRASTOVSKO;KALNIÈKA ULICA 3;613;324;324;296;28;65;139;39;11;5;13;24
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;010;GLOBOÈEC LUDBREŠKI;DRUŠTVENI DOM;GLOBOÈEC LUDBREŠKI, LUDBREŠKA ULICA 80;390;170;170;162;8;32;62;9;19;5;6;29
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;011;ÈUKOVEC;DRUŠTVENI DOM;ÈUKOVEC, GRACI 2;253;83;83;80;3;10;55;0;2;4;4;5
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;012;BOLFAN;DRUŠTVENI DOM;BOLFAN, VARAŽDINSKA ULICA 42;361;144;144;139;5;19;82;6;12;3;8;9
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;013;SEGOVINA;DRUŠTVENI DOM;SEGOVINA 17;36;26;26;26;0;10;11;1;1;0;0;3
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;014;POLJANEC;DRUŠTVENI DOM;VARAŽDINSKA ULICA 185;564;202;202;185;17;46;77;20;5;4;3;30
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;001;NOVI MAROF 1.;"KULTURNI CENTAR ""IVAN RABUZIN"" (MALA DVORANA)";ULICA ANTUNA MIHANOVIÆA 3;665;352;352;325;27;74;80;15;10;13;18;115
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;002;NOVI MAROF 2.;OSNOVNA ŠKOLA NOVI MAROF;ZAGORSKA ULICA 23;619;285;285;268;17;41;60;2;14;5;3;143
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;003;NOVI MAROF 3.;"U POSLOVNOM PROSTORU ""MARŠIÆ"", NOVI MAROF";VARAŽDINSKA ULICA 88;359;184;184;177;7;35;64;1;6;5;7;59
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;004;PURGARI;POSLOVNO-STAMBENI PROSTOR, VL. ŠTEFANIJE ZIDAR;REMETINEC 8A;248;139;139;136;3;15;53;3;5;6;6;48
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;005;REMETINEC 1.;DRUŠTVENI DOM REMETINEC;REMETINEC 294;628;301;301;283;18;32;58;12;11;15;29;126
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;006;REMETINEC 2.;DRUŠTVENI DOM REMETINEC;REMETINEC 294;379;188;188;178;10;19;48;0;8;11;16;76
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;007;STRMEC REMETINEÈKI;DRUŠTVENI DOM STRMEC REMETINEÈKI;STRMEC REMETINEÈKI 76;423;256;256;243;13;20;62;3;8;6;11;133
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;008;GORNJE PRESEÈNO;BIVŠA PODRUÈNA ŠKOLA PRESEÈNO;PRESEÈNO 35;484;204;204;184;20;27;39;2;6;5;17;88
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;009;KLJUÈ 1.;DOM KULTURE KLJUÈ;VIKTORA ÈOLJE 2, KLJUÈ;530;262;262;251;11;27;62;5;7;11;17;122
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;010;KLJUÈ 2.;PODRUÈNA ŠKOLA KLJUÈ;VIKTORA ÈOLJE 168, KLJUÈ;196;82;82;73;9;3;18;3;2;3;7;37
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;011;OŠTRICE;VATROGASNI DOM OŠTRICE;OŠTRICE 24;392;192;192;177;15;15;71;1;6;4;8;72
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;012;OREHOVEC;DRUŠTVENI DOM OREHOVEC;OREHOVEC 23 C;229;109;109;107;2;12;22;6;7;4;12;44
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;013;DONJE PRESEÈNO;STAMBENI OBJEKT (STARA KUÆA) VL. BOŽICE STEPAN;PRESEÈNO 184;240;94;94;91;3;22;26;0;2;6;6;29
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;014;MOŽÐENEC;DRUŠTVENI DOM MOŽÐENEC;MOŽÐENEC 86 A;571;240;240;222;18;55;43;7;18;5;7;87
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;015;GRANA;UREDSKI KONTEJNER PORED MALONOGOMETNOG IGRALIŠTA U GRANI;GRANA;454;197;197;185;12;28;35;2;9;6;8;97
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;016;GORNJE MAKOJIŠÆE;DRUŠTVENI DOM GORNJE MAKOJIŠÆE;GORNJE MAKOJIŠÆE 90 G;343;163;163;153;10;19;19;7;9;9;5;85
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;017;PAKA;"POSLOVNI PROSTOR ""PLASTILAK"" VL. FRANJE KUZMIÆA";PAKA 20;64;31;31;31;0;4;3;0;2;3;3;16
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;018;SUDOVEC;DRUŠTVENI DOM SUDOVEC;TRG SVETOG FLORIJANA 1, SUDOVEC;278;192;192;190;2;13;22;0;8;2;1;144
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;019;DONJE MAKOJIŠÆE 1.;KUÆA VL. VLADIMIRA OŠTREKA;DONJE MAKOJIŠÆE 16;101;52;52;52;0;7;12;1;0;0;14;18
