Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;CENTAR;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS, HRVATSKA SELJAÈKA STRANKA - STJEPAN RADIÆ - HSS - SR, STRANKA UMIROVLJENIKA - SU;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKI LABURISTI - STRANKA RADA - LABURISTI, NARODNA STRANKA - REFORMISTI - REFORMISTI;HRVATSKA SELJAÈKA STRANKA - HSS;HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;HRVATSKA STRANKA PRAVA - HSP, HRVATSKI SUVERENISTI, HRVATSKA KONZERVATIVNA STRANKA - HKS, HRAST - POKRET ZA USPJEŠNU HRVATSKU;KANDIDACIJSKA LISTA GRUPE BIRAÈA - TOMISLAV MAMIÆ;MOST;MOŽEMO! - POLITIÈKA PLATFORMA, NOVA LJEVICA - NL, PAMETNO ZA SPLIT I DALMACIJU;RADNIÈKA FRONTA - RF, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA STRANKA UMIROVLJENIKA - HSU;ŽELJKO KERUM - HRVATSKA GRAÐANSKA STRANKA - HGS
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;145;SPLIT;GRADSKI KOTAR ŠINE;JOSIPOVA 2;1538;573;572;558;14;56;40;209;4;3;5;7;5;21;108;14;1;21;64
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;146;SPLIT;O.Š.VISOKA;VRH VISOKE 8;1624;670;670;653;17;118;48;195;3;2;5;10;20;33;47;28;2;30;112
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;147;SPLIT;GRADSKI KOTAR VISOKA;CESTA MIRA 3;1285;605;605;596;9;120;18;200;3;6;3;7;14;51;42;36;1;14;81
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;148;SPLIT;O.Š.VISOKA;VRH VISOKE 8;1300;533;533;528;5;52;16;243;3;2;4;5;10;33;62;10;1;15;72
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;149;SPLIT;OŠ ŽNJAN-PAZDIGRAD;PAZDIGRADSKA 1;1205;542;542;536;6;129;27;134;0;5;0;23;5;30;59;45;2;28;49
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;150;SPLIT;OŠ ŽNJAN-PAZDIGRAD;PAZDIGRADSKA 1;1145;521;521;511;10;98;30;137;2;1;1;15;9;44;41;30;2;37;64
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;151;SPLIT;OŠ ŽNJAN-PAZDIGRAD;PAZDIGRADSKA 1;1648;703;703;694;9;158;27;160;2;5;3;15;5;59;50;83;3;60;64
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;152;SPLIT;OŠ ŽNJAN-PAZDIGRAD;PAZDIGRADSKA 1;1292;584;584;570;14;117;39;148;2;0;1;10;11;31;53;56;1;31;70
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;153;SITNO DONJE;DRUŠTVENI DOM SITNO DONJE;HRVATSKIH DRAGOVOLJACA 48;238;147;147;143;4;5;10;81;1;0;0;3;3;2;11;1;1;1;24
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;154;SITNO GORNJE;DRUŠTVENI DOM SITNO GORNJE;SITNO GORNJE;219;127;127;124;3;13;4;51;1;3;5;1;0;3;9;3;1;4;26
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;155;SITNO GORNJE-SIROTKOVIÆI;DRUŠTVENI DOM SIROTKOVIÆI;SITNO GORNJE;134;82;82;79;3;11;5;32;3;3;1;2;1;4;2;0;0;0;15
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;156;KAMEN;MJESNI ODBOR KAMEN;SV.MIHOVILA 5;1578;649;649;636;13;70;48;282;4;1;4;6;14;29;54;16;0;26;82
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;157;SRINJINE;MJESNI ODBOR SRINJINE;SRINJINE;578;230;230;228;2;20;7;95;3;4;0;7;3;7;23;6;0;7;46
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;158;SRINJINE-TVRÈIÆI;MJESNI ODBOR TVRÈIÆI-SRINJINE;SRINJINE;426;188;187;183;4;23;22;69;2;0;3;2;4;9;6;4;0;9;30
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;159;STOBREÈ;O.Š.STOBREÈ;IVANKOVA 13;1478;568;568;551;17;80;39;220;2;2;0;4;7;30;70;17;0;13;67
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;160;STOBREÈ;O.Š.STOBREÈ;IVANKOVA 13;1196;513;513;502;11;83;22;155;1;4;2;5;4;24;56;15;2;37;92
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;161;ŽRNOVNICA;DOM KULTURE KOREŠNICA;KOREŠNICA;1307;512;512;497;15;87;22;136;3;3;5;18;13;42;42;31;5;42;48
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;162;ŽRNOVNICA;MJESNI ODBOR ŽRNOVNICA;ŽRNOVNICA;1475;573;573;551;22;67;36;170;3;5;5;42;10;21;51;33;4;42;62
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;163;SLATINE;MJESNI ODBOR SLATINE;DUBOKE GARME 2;1130;409;409;390;19;44;25;168;2;12;3;3;3;8;26;13;3;29;51
