Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AGRAMERI - NEZAVISNA LISTA;AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A - HSS, HRVATSKA SELJAÈKA STRANKA - STJEPAN RADIÆ - HSS - SR, HRVATSKA RADIÆEVSKA STRANKA - HRS, PROMIJENIMO HRVATSKU - PH, HRVATSKA STRANKA SVIH ÈAKAVACA KAJKAVACA I ŠTOKAVACA - HSSÈKŠ;AUTOHTONA - HRVATSKA STRANKA PRAVA - A - HSP;"""BANDIÆ MILAN 365 - STRANKA RADA I SOLIDARNOSTI"" - ""365 STRANKA RADA I SOLIDARNOSTI""";BLOK UMIROVLJENICI ZAJEDNO - BUZ;CENTAR;DOMOVINSKI POKRET - DP, ZELENA LISTA;FOKUS;GRAÐANSKO-LIBERALNI SAVEZ - GLAS, DEMOKRATI;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRVATSKA STRANKA UMIROVLJENIKA - HSU;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;HRVATSKI SUVERENISTI, HRVATSKA KONZERVATIVNA STRANKA - HKS, HRAST - POKRET ZA USPJEŠNU HRVATSKU, NEOVISNI ZA HRVATSKU - NHR, HRVATSKA STRANKA PRAVA - HSP, GENERACIJA OBNOVE - GO;MOST;MOŽEMO! - POLITIÈKA PLATFORMA, ZAGREB JE NAŠ!, NOVA LJEVICA - NL, ZELENA ALTERNATIVA - ODRŽIVI RAZVOJ HRVATSKE - Zelena alternativa - ORaH, ZA GRAD;NARODNA STRANKA - REFORMISTI - REFORMISTI;NEZAVISNA LISTA TOMISLAV STOJAK - NLTS;POKRET ZA MODERNU HRVATSKU;RADNIÈKA FRONTA - RF;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  ŽELJKO TOKIÆ;VESNA ŠKARE OŽBOLT - NEZAVISNA LISTA - VESNA ŠKARE OŽBOLT-NL;ZAGORSKA STRANKA ZA ZAGREB - ZSZ
21;GRAD ZAGREB;grad;GRAD ZAGREB;215;HRVATSKI LESKOVAC;PROSTORIJE MJESNOG ODBORA;TRG HRVATSKIH BRANITELJA DOMOVINSKOG RATA 2;1124;505;505;484;21;5;3;1;54;2;4;104;21;5;72;0;4;17;113;0;2;0;0;40;0;36;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;216;JEŽDOVEC;OŠ LUÈKO - PODRUÈNA ŠKOLA JEŽDOVEC;JEŽDOVEÈKA ULICA 34;882;287;287;276;11;4;2;1;87;0;1;33;13;0;38;0;4;14;52;1;0;0;1;16;0;8;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;217;JEŽDOVEC;OŠ LUÈKO - PODRUÈNA ŠKOLA JEŽDOVEC;JEŽDOVEÈKA ULICA 34;832;332;332;321;11;4;1;1;41;4;3;47;26;1;40;0;3;19;93;2;0;1;1;16;0;18;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;218;KAJZERICA;OŠ KAJZERICA;ULICA ŽARKA DOLINARA 9;1369;681;681;672;9;1;1;0;43;1;5;45;28;2;67;0;3;59;336;0;1;1;5;50;3;21;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;219;KAJZERICA;OŠ KAJZERICA;ULICA ŽARKA DOLINARA 9;1406;699;692;683;9;1;6;1;52;5;9;39;19;3;80;1;9;60;303;0;3;1;7;59;4;21;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;220;KAJZERICA;OŠ KAJZERICA;ULICA ŽARKA DOLINARA 9;1422;675;675;662;13;2;2;0;48;2;6;60;28;5;64;0;9;50;292;0;3;0;3;48;2;37;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;221;LANIŠTE;OŠ SAVSKI GAJ;REMETINEÈKA CESTA 64A;1034;465;465;454;11;7;0;0;44;2;3;69;14;1;52;0;11;36;170;0;0;0;2;20;1;21;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;222;LANIŠTE;OŠ SAVSKI GAJ;REMETINEÈKA CESTA 64A;1048;443;443;433;10;1;1;2;42;0;5;47;13;3;66;1;7;22;170;0;0;0;0;34;0;19;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;223;LANIŠTE;OŠ SAVSKI GAJ;REMETINEÈKA CESTA 64A;1019;413;413;404;9;3;2;3;28;2;5;63;6;2;50;0;6;33;138;0;2;1;2;29;2;27;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;224;LUÈKO;OŠ LUÈKO;PUŠKARIÆEVA ULICA 102;1063;441;441;428;13;2;0;0;49;5;0;78;10;6;49;0;2;19;137;1;2;1;1;37;0;28;1
