Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA BUNJEVAÈKA STRANKA - HBS;HRVATSKA STRANKA PRAVA - HSP;LiPO;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
09;LIÈKO-SENJSKA ŽUPANIJA;grad;SENJ;002;"SENJ - OŠ ""S. S. KRANJÈEVIÆA""";"OŠ ""S. S. KRANJÈEVIÆA""";S. S. KRANJÈEVIÆA 1;1091;710;710;686;24;33;355;27;187;0;84
09;LIÈKO-SENJSKA ŽUPANIJA;grad;SENJ;003;SENJ - ŠKOLSKA SPORTSKA DVORANA;"ŠKOLSKA SPORTSKA DVORANA SENJ ""ROBERT BARBIÆ-BELI""";S. S. KRANJÈEVIÆA 1-A;1058;741;741;703;38;31;342;39;192;6;93
09;LIÈKO-SENJSKA ŽUPANIJA;grad;SENJ;004;SENJ - GRADSKA KNJIŽNICA SENJ;GRADSKA KNJIŽNICA SENJ;TRG CILNICA 11, SENJ;798;436;436;412;24;30;197;24;89;2;70
09;LIÈKO-SENJSKA ŽUPANIJA;grad;SENJ;005;SENJ - MJESNI ODBOR U SV. JURJU;MJESNI ODBOR U SV. JURJU;SELO 23, SVETI JURAJ;803;463;463;439;24;18;226;24;100;2;69
09;LIÈKO-SENJSKA ŽUPANIJA;grad;SENJ;006;SENJ - MJESNI ODBOR, ZGRADA HRVATSKIH ŠUMA U JABLANCU;MJESNI ODBOR, ZGRADA HRVATSKIH ŠUMA U JABLANCU;JABLANAC;232;95;95;89;6;3;40;1;42;0;3
09;LIÈKO-SENJSKA ŽUPANIJA;grad;SENJ;007;"SENJ- PODRUÈNA OŠ ""PROF. BOŽO KATALINIÆ""";"PODRUÈNA OŠ ""PROF. BOŽO KATALINIÆ""";VRATNIK;271;177;177;164;13;7;96;5;49;0;7
09;LIÈKO-SENJSKA ŽUPANIJA;grad;SENJ;008;SENJ- MJESNI ODBOR KRIVI PUT, PODBILO;MJESNI ODBOR KRIVI PUT,PODBILO;PODBILO;164;77;77;77;0;3;45;3;21;1;4
09;LIÈKO-SENJSKA ŽUPANIJA;grad;SENJ;009;SENJ - MJESNI ODBOR KRASNO;MJESNI ODBOR KRASNO;KRASNO;407;215;215;210;5;1;93;20;89;0;7
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;BRINJE;001;BRINJE - OŠ BRINJE - PRIZEMLJE;OŠ BRINJE - PRIZEMLJE;BRINJE;804;518;518;499;19;19;291;25;145;1;18
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;BRINJE;002;BRINJE - OŠ BRINJE - I KAT;OŠ BRINJE - I KAT;BRINJE;349;247;247;232;15;10;163;9;43;3;4
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;BRINJE;003;BRINJE - OSNOVNA ŠKOLA KRIŽPOLJE;OSNOVNA ŠKOLA KRIŽPOLJE;KRIŽPOLJE;423;221;221;216;5;11;116;6;81;0;2
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;BRINJE;004;BRINJE - OŠ LETINAC;OŠ LETINAC;LETINAC;103;75;75;74;1;3;51;2;18;0;0
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;BRINJE;005;BRINJE - DOM PROKIKE;DOM PROKIKE;PROKIKE;106;53;53;51;2;6;24;2;10;4;5
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;BRINJE;006;BRINJE - OŠ KRIŽ KAMENICA;OŠ KRIŽ KAMENICA;KRIŽ KAMENICA;170;111;111;107;4;2;72;1;31;0;1
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;BRINJE;007;BRINJE - ZADRUŽNI DOM VODOTEÈ;ZADRUŽNI DOM VODOTEÈ;VODOTEÈ;47;30;30;29;1;1;12;1;1;9;5
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;BRINJE;008;BRINJE - OSNOVNA ŠKOLA JEZERANE;OSNOVNA ŠKOLA JEZERANE;JEZERANE;259;116;116;107;9;6;56;2;39;1;3
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;BRINJE;009;BRINJE - OŠ LIPICE;OŠ LIPICE;LIPICE;120;50;50;49;1;4;27;4;12;0;2
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;BRINJE;010;BRINJE - OŠ STAJNICA;OŠ STAJNICA;STAJNICA;172;92;92;90;2;3;54;4;24;1;4
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;DONJI LAPAC;001;DONJI LAPAC;OSNOVNA ŠKOLA DONJI LAPAC;DONJI LAPAC, STOJANA MATIÆA 18;742;380;380;344;36;19;68;7;99;97;54
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;DONJI LAPAC;002;DONJI LAPAC;OSNOVNA ŠKOLA DONJI LAPAC;DONJI LAPAC, STOJANA MATIÆA 18;381;188;188;162;26;5;4;4;40;86;23
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;DONJI LAPAC;003;NEBLJUSI;ZGRADA DRUŠTVENOG DOMA NEBLJUSI;NEBLJUSI;196;104;104;92;12;3;2;2;16;51;18
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;DONJI LAPAC;004;GORNJI LAPAC;"ZGRADA LOVAÈKOG DRUŠTVA ""OZEBLIN""";GORNJI LAPAC;218;124;124;115;9;4;2;0;18;61;30
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;KARLOBAG;001;KARLOBAG;OSNOVNA ŠKOLA KARLOBAG;KARLOBAG, OBALA V. NAZORA 18;518;385;385;372;13;20;153;26;161;2;10
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;KARLOBAG;002;KARLOBAG;ŽUPNI STAN U CESARICI;CESARICA 41;167;92;92;87;5;9;26;5;44;0;3
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;KARLOBAG;003;KARLOBAG;LUGARNICA U SUŠNJU CESARIÈKOM BR.1;SUŠANJ 1;64;58;58;54;4;2;33;2;17;0;0
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;KARLOBAG;004;KARLOBAG;OSNOVNA ŠKOLA LUKOVO ŠUGARJE;LUKOVO ŠUGARJE;198;138;138;129;9;6;77;2;42;0;2
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;LOVINAC;001;LOVINAC;DOM KULTURE LOVINAC;LOVINAC;337;238;238;230;8;16;57;27;105;19;6
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;LOVINAC;002;SVETI ROK;HOSTEL SVETI ROK;SVETI ROK;352;232;232;221;11;8;143;13;51;1;5
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;LOVINAC;003;RIÈICE;ZGRADA DOMA KULTURE U RIÈICAMA;RIÈICE;75;59;59;58;1;9;19;4;22;0;4
