Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;STIPO LUKAČ;DARKO MILINOVIĆ;ERNEST PETRY;DANIJEL TUŠAK;TOMISLAV ZRINSKI
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;014;OTOČAC - PODRUČNA ŠKOLA LIČKO LEŠĆE;PODRUČNA ŠKOLA LIČKO LEŠĆE;LIČKO LEŠĆE DONJE;349;204;204;201;3;12;64;84;35;6
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;015;"OTOČAC - HRVATSKI SELJAČKI DOM ""GACKA"" LIČKO LEŠĆE";"HRVATSKI SELJAČKI DOM ""GACKA""";LIČKO LEŠĆE GORNJE;225;160;160;153;7;6;64;53;27;3
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;016;OTOČAC - PODRUČNA ŠKOLA SINAC;PODRUČNA ŠKOLA SINAC;SINAC;459;287;287;272;15;38;100;92;36;6
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;017;OTOČAC - MJESNI DOM RAMLJANI;MJESNI DOM RAMLJANI;RAMLJANI;100;52;52;52;0;1;28;9;14;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;SENJ;001;SENJ - UPRAVA ŠUMA SENJ;UPRAVA ŠUMA SENJ;N. SUZANA 27;1434;841;841;800;41;32;212;353;56;147
09;LIČKO-SENJSKA ŽUPANIJA;grad;SENJ;002;"SENJ - OŠ ""S. S. KRANJČEVIĆA""";"OŠ ""S. S. KRANJČEVIĆA""";S. S. KRANJČEVIĆA 1;1091;710;710;673;37;21;207;310;38;97
09;LIČKO-SENJSKA ŽUPANIJA;grad;SENJ;003;SENJ - ŠKOLSKA SPORTSKA DVORANA;"ŠKOLSKA SPORTSKA DVORANA SENJ ""ROBERT BARBIĆ-BELI""";S. S. KRANJČEVIĆA 1-A;1058;741;741;694;47;25;226;299;42;102
09;LIČKO-SENJSKA ŽUPANIJA;grad;SENJ;004;SENJ - GRADSKA KNJIŽNICA SENJ;GRADSKA KNJIŽNICA SENJ;TRG CILNICA 11, SENJ;798;436;436;406;30;27;97;172;28;82
09;LIČKO-SENJSKA ŽUPANIJA;grad;SENJ;005;SENJ - MJESNI ODBOR U SV. JURJU;MJESNI ODBOR U SV. JURJU;SELO 23, SVETI JURAJ;803;463;463;436;27;16;119;196;32;73
09;LIČKO-SENJSKA ŽUPANIJA;grad;SENJ;006;SENJ - MJESNI ODBOR, ZGRADA HRVATSKIH ŠUMA U JABLANCU;MJESNI ODBOR, ZGRADA HRVATSKIH ŠUMA U JABLANCU;JABLANAC;232;95;95;89;6;2;47;37;0;3
09;LIČKO-SENJSKA ŽUPANIJA;grad;SENJ;007;"SENJ- PODRUČNA OŠ ""PROF. BOŽO KATALINIĆ""";"PODRUČNA OŠ ""PROF. BOŽO KATALINIĆ""";VRATNIK;271;177;177;164;13;4;57;87;6;10
09;LIČKO-SENJSKA ŽUPANIJA;grad;SENJ;008;SENJ- MJESNI ODBOR KRIVI PUT, PODBILO;MJESNI ODBOR KRIVI PUT,PODBILO;PODBILO;164;77;77;75;2;3;22;44;2;4
09;LIČKO-SENJSKA ŽUPANIJA;grad;SENJ;009;SENJ - MJESNI ODBOR KRASNO;MJESNI ODBOR KRASNO;KRASNO;407;215;215;202;13;4;96;73;22;7
09;LIČKO-SENJSKA ŽUPANIJA;općina;BRINJE;001;BRINJE - OŠ BRINJE - PRIZEMLJE;OŠ BRINJE - PRIZEMLJE;BRINJE;804;518;518;497;21;22;183;244;30;18
09;LIČKO-SENJSKA ŽUPANIJA;općina;BRINJE;002;BRINJE - OŠ BRINJE - I KAT;OŠ BRINJE - I KAT;BRINJE;349;247;247;231;16;5;62;141;12;11
09;LIČKO-SENJSKA ŽUPANIJA;općina;BRINJE;003;BRINJE - OSNOVNA ŠKOLA KRIŽPOLJE;OSNOVNA ŠKOLA KRIŽPOLJE;KRIŽPOLJE;423;221;221;212;9;16;91;97;6;2
09;LIČKO-SENJSKA ŽUPANIJA;općina;BRINJE;004;BRINJE - OŠ LETINAC;OŠ LETINAC;LETINAC;103;75;75;73;2;1;33;36;3;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;BRINJE;005;BRINJE - DOM PROKIKE;DOM PROKIKE;PROKIKE;106;53;53;49;4;6;13;25;1;4
09;LIČKO-SENJSKA ŽUPANIJA;općina;BRINJE;006;BRINJE - OŠ KRIŽ KAMENICA;OŠ KRIŽ KAMENICA;KRIŽ KAMENICA;170;111;111;107;4;3;43;60;0;1
09;LIČKO-SENJSKA ŽUPANIJA;općina;BRINJE;007;BRINJE - ZADRUŽNI DOM VODOTEČ;ZADRUŽNI DOM VODOTEČ;VODOTEČ;47;30;30;28;2;3;3;14;0;8
09;LIČKO-SENJSKA ŽUPANIJA;općina;BRINJE;008;BRINJE - OSNOVNA ŠKOLA JEZERANE;OSNOVNA ŠKOLA JEZERANE;JEZERANE;259;116;116;104;12;4;47;46;4;3
09;LIČKO-SENJSKA ŽUPANIJA;općina;BRINJE;009;BRINJE - OŠ LIPICE;OŠ LIPICE;LIPICE;120;50;50;48;2;3;21;20;1;3
09;LIČKO-SENJSKA ŽUPANIJA;općina;BRINJE;010;BRINJE - OŠ STAJNICA;OŠ STAJNICA;STAJNICA;172;92;92;90;2;2;29;52;2;5
09;LIČKO-SENJSKA ŽUPANIJA;općina;DONJI LAPAC;001;DONJI LAPAC;OSNOVNA ŠKOLA DONJI LAPAC;DONJI LAPAC, STOJANA MATIĆA 18;742;380;380;317;63;14;137;82;16;68
09;LIČKO-SENJSKA ŽUPANIJA;općina;DONJI LAPAC;002;DONJI LAPAC;OSNOVNA ŠKOLA DONJI LAPAC;DONJI LAPAC, STOJANA MATIĆA 18;381;188;188;144;44;3;78;21;4;38
09;LIČKO-SENJSKA ŽUPANIJA;općina;DONJI LAPAC;003;NEBLJUSI;ZGRADA DRUŠTVENOG DOMA NEBLJUSI;NEBLJUSI;196;104;104;70;34;5;37;9;6;13
09;LIČKO-SENJSKA ŽUPANIJA;općina;DONJI LAPAC;004;GORNJI LAPAC;"ZGRADA LOVAČKOG DRUŠTVA ""OZEBLIN""";GORNJI LAPAC;218;124;124;103;21;3;49;16;2;33
09;LIČKO-SENJSKA ŽUPANIJA;općina;KARLOBAG;001;KARLOBAG;OSNOVNA ŠKOLA KARLOBAG;KARLOBAG, OBALA V. NAZORA 18;518;385;385;372;13;21;166;147;30;8
09;LIČKO-SENJSKA ŽUPANIJA;općina;KARLOBAG;002;KARLOBAG;ŽUPNI STAN U CESARICI;CESARICA 41;167;93;93;81;12;6;42;23;8;2
09;LIČKO-SENJSKA ŽUPANIJA;općina;KARLOBAG;003;KARLOBAG;LUGARNICA U SUŠNJU CESARIČKOM BR.1;SUŠANJ 1;64;58;58;55;3;2;22;30;1;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;KARLOBAG;004;KARLOBAG;OSNOVNA ŠKOLA LUKOVO ŠUGARJE;LUKOVO ŠUGARJE;198;138;138;131;7;6;49;72;3;1
09;LIČKO-SENJSKA ŽUPANIJA;općina;LOVINAC;001;LOVINAC;DOM KULTURE LOVINAC;LOVINAC;337;238;238;232;6;10;116;61;37;8
09;LIČKO-SENJSKA ŽUPANIJA;općina;LOVINAC;002;SVETI ROK;HOSTEL SVETI ROK;SVETI ROK;352;232;232;219;13;6;57;133;21;2
09;LIČKO-SENJSKA ŽUPANIJA;općina;LOVINAC;003;RIČICE;ZGRADA DOMA KULTURE U RIČICAMA;RIČICE;75;59;59;58;1;8;29;16;1;4
09;LIČKO-SENJSKA ŽUPANIJA;općina;LOVINAC;004;ŠTIKADA;"PROSTORIJE UPRAVNE ZGRADE ""LIGNUM"" U ŠTIKADI";ŠTIKADA;201;120;120;109;11;3;65;21;11;9
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;001;PERUŠIĆ;DOM KULTURE U PERUŠIĆU;PERUŠIĆ, HRVATSKE MLADEŽI 3;734;446;446;431;15;34;120;137;123;17
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;002;PERUŠIĆ;ZGRADA BIVŠE POŠTE U PERUŠIĆU (PRIZEMLJE);PERUŠIĆ, TRG POPA MARKA MESIĆA 5;158;74;74;74;0;4;13;41;11;5
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;003;PERUŠIĆ;ZGRADA BIVŠE OSNOVNE ŠKOLE U POCRNIĆIMA;PERUŠIĆ;72;19;19;19;0;1;6;7;5;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;004;PERUŠIĆ;KUĆA JOSE KOLAKA (GRUBIŠE);MALO POLJE 59;87;48;48;47;1;0;22;20;5;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;005;PERUŠIĆ;KUĆA JURE JURKOVIĆA;KVARTE 41 A;216;126;126;123;3;3;43;58;19;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;006;PERUŠIĆ;KUĆA ŽELJKA KRULJCA, KALUĐEROVAC;KALUĐEROVAC 14 A;20;13;13;12;1;0;1;9;2;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;007;PERUŠIĆ;KUĆA GORDANE PETRIĆ, STUDENCI;STUDENCI 51 A;42;9;9;9;0;0;0;3;4;2
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;008;PERUŠIĆ;DRUŠTVENI DOM DONJI KOSINJ;DONJI KOSINJ;108;81;81;76;5;6;17;48;4;1
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;009;PERUŠIĆ;ZGRADA BIVŠE OSNOVNE ŠKOLE RUDINKA;DONJI KOSINJ;134;118;118;118;0;2;13;96;5;2
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;010;PERUŠIĆ;ZGRADA BIVŠE OSNOVNE ŠKOLE VUKELIĆI;DONJI KOSINJ;98;49;49;47;2;1;12;24;8;2
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;011;PERUŠIĆ;DRUŠTVENI DOM KOSINJSKI BAKOVAC;KOSINJSKI BAKOVAC;81;54;54;51;3;1;17;21;11;1
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;012;PERUŠIĆ;DRUŠTVENI DOM GORNJI KOSINJ;GORNJI KOSINJ 54;99;45;45;45;0;2;15;15;12;1
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;013;PERUŠIĆ;KUĆA RAJKA ŠTAKIĆA;MLAKVA 48/1;69;28;28;28;0;4;3;5;14;2
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;014;PERUŠIĆ;DRUŠTVENI DOM LIPOVO POLJE;LIPOVO POLJE;95;51;51;50;1;1;16;3;20;10
