Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;HRVATSKA SELJAÈKA STRANKA - HSS;HRVATSKI SUVERENISTI, HRVATSKA KONZERVATIVNA STRANKA - HKS, HRAST - POKRET ZA USPJEŠNU HRVATSKU, NEOVISNI ZA HRVATSKU - NHR;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  MARKO JELIÆ;MOST, DOMOVINSKI POKRET - DP, LOZA NEZAVISNA LISTA - LOZA;NARODNA STRANKA - REFORMISTI - REFORMISTI, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;NEZAVISNA LISTA STIPE PETRINA - NLSP;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;020;BIRAÈKO MJESTO 20;KUÆA RADOJKE MILIVOJEVIÆ;POLAÈA;161;81;81;74;7;0;1;0;22;0;1;1;47;2
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;001;BIRAÈKO MJESTO 1;"""KULTURNI CENTAR U SKRADINU""";ANTUNA BECIÆA 2, SKRADIN;760;255;255;249;6;102;0;26;22;14;5;60;11;9
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;002;BIRAÈKO MJESTO 2;PROSTORIJE OSNOVNE ŠKOLE U DUBRAVICAMA;DUBRAVICE;618;247;247;237;10;129;1;15;14;21;2;36;11;8
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;003;BIRAÈKO MJESTO 3;KUÆA JOSE SLADIÆA POK. GRGE U PLASTOVU;PLASTOVO;259;101;101;91;10;56;2;3;4;3;2;11;7;3
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;004;BIRAÈKO MJESTO 4;PROSTORIJE OSNOVNE ŠKOLE U RUPAMA;RUPE;487;203;203;199;4;139;0;35;6;7;2;6;1;3
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;005;BIRAÈKO MJESTO 5;POSLOVNI PROSTOR DALIBORA DUJIÆA - POSLOVNA ZONA KOSA BB;IÆEVO;116;60;60;60;0;58;0;1;0;0;0;0;1;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;006;BIRAÈKO MJESTO 6;POLJOPRIVREDNA ZADRUGA BRANITELJA BRATIŠKOVCI-BRIBIR;DOBROTE VULINOVIÆI 52 A, BRATIŠKOVCI;272;69;69;67;2;7;2;1;2;0;0;7;43;5
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;007;BIRAÈKO MJESTO 7;POSLOVNI PROSTOR ZDRAVKA MARETIÆA U VAÆANIMA;DONJI VAÆANI 15;195;57;57;51;6;23;1;4;3;2;2;4;9;3
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;008;BIRAÈKO MJESTO 8;"PROSTORIJE BOÆARSKOG KLUBA ""SONKOVIÆ"" U SONKOVIÆU";SONKOVIÆ;598;218;218;189;29;73;2;4;4;6;1;19;65;15
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;009;BIRAÈKO MJESTO 9;POSLOVNI PROSTOR JOŠKA CIGIÆA U BRIBIRU (BIVŠA OSNOVNA ŠKOLA);BRIBIRSKE MOSTINE BB;274;67;67;57;10;15;3;2;7;0;1;5;20;4
