Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;IVAN CELJAK;DANIEL BERDAIS
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;009;KOZARICE;HRVATSKI SELJAČKI PROSVJETNI DOM U KOZARICAMA;KOZARICE;342;78;78;77;1;69;8
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;010;NOVA SUBOCKA;OSNOVNA ŠKOLA;NOVA SUBOCKA;596;125;125;120;5;112;8
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;011;STARA SUBOCKA;HRVATSKI DOM;STARA SUBOCKA;383;67;67;66;1;61;5
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;012;SIGETAC;HRVATSKI DOM;SIGETAC;96;41;41;39;2;37;2
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;013;PLESMO;HRVATSKI DOM;PLESMO;58;19;19;19;0;17;2
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;014;STARI GRABOVAC;HRVATSKI DOM;STARI GRABOVAC;335;104;104;104;0;91;13
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;015;PAKLENICA;HRVATSKI DOM;PAKLENICA;214;46;46;46;0;26;20
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;016;VOĆARICA;HRVATSKI DOM;VOĆARICA;129;57;57;57;0;56;1
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;017;JAZAVICA;HRVATSKI DOM;JAZAVICA;304;58;58;56;2;50;6
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;018;ROŽDANIK;HRVATSKI DOM;ROŽDANIK;212;60;60;59;1;53;6
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;019;RAJIĆ;VATROGASNI DOM;RAJIĆ;725;120;120;117;3;103;14
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;020;BOROVAC;HRVATSKI DOM;BOROVAC;194;53;53;53;0;45;8
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;001;PETRINJA;GRADSKA UPRAVA (BIVŠA KOTVA - U DVORIŠTU);ULICA BRAĆE HANŽEK 19;449;272;272;262;10;179;83
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;002;PETRINJA;GRADSKA UPRAVA (BIVŠA KOTVA - U DVORIŠTU);ULICA BRAĆE HANŽEK 19;540;297;297;288;9;192;96
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;003;PETRINJA;RUKOMETNO IGRALIŠTE;ULICA ANTUNA MATIJE RELJKOVIĆA BB (ŠATOR);874;495;495;480;15;378;102
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;004;PETRINJA;HRVAČKA DVORANA;TRG NARODNIH UČITELJA 7/A;871;462;462;446;16;299;147
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;005;PETRINJA;DJEČJI VRTIĆ, PETRINJA;ULICA MILANA DUJNIĆA 25;766;368;368;352;16;251;101
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;006;PETRINJA;DJEČJI VRTIĆ NA SAJMIŠTU, PETRINJA;ULICA DRAŽENA PETROVIĆA 18/3;650;331;331;326;5;233;93
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;007;PETRINJA;DJEČJI VRTIĆ NA SAJMIŠTU, PETRINJA;ULICA DRAŽENA PETROVIĆA 18/3;964;526;526;502;24;328;174
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;008;PETRINJA;KONTEJNERSKO NASELJE NA SAJMIŠTU;SAJMIŠTE BB (ŠATOR);868;440;440;413;27;292;121
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;009;PETRINJA;DOM ZDRAVLJA PETRINJA;R. LOPAŠIĆA BB;633;320;320;312;8;203;109
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;010;PETRINJA;DJEČJI VRTIĆ, PETRINJA;ULICA MILANA DUJNIĆA 25;863;319;319;309;10;233;76
