Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP, STRANKA UMIROVLJENIKA - SU;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, NEZAVISNA LISTA ANTE ĐAPIĆA - NL ANTE ĐAPIĆA, AKTIVNI NEZAVISNI UMIROVLJENICI - ANU, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA STRANKA PRAVA - HSP, DEMOKRATSKI HSS - DHSS, BLOK UMIROVLJENICI ZAJEDNO - BUZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA SELJAČKA STRANKA - HSS, NARODNA STRANKA - REFORMISTI - REFORMISTI;MOST, HRVATSKI SUVERENISTI;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;SNAGA SLAVONIJE I BARANJE - Snaga SiB;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;032;BUDROVCI;OSNOVNA ŠKOLA BUDROVCI, UČIONICA 2;BUDROVCI;428;155;155;151;4;38;70;12;8;2;14;7
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;033;ĐURĐANCI;OSNOVNA ŠKOLA;ĐURĐANCI;355;140;140;131;9;37;72;2;12;0;5;3
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;034;PIŠKOREVCI;OSNOVNA ŠKOLA MATIJA GUBEC, UČIONICA 1;PIŠKOREVCI;782;313;312;295;17;83;131;12;22;1;21;25
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;035;PIŠKOREVCI;OSNOVNA ŠKOLA MATIJA GUBEC, UČIONICA 2;PIŠKOREVCI;808;336;336;317;19;86;145;16;28;2;22;18
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;036;NOVI PERKOVCI;PODRUČNA OSNOVNA ŠKOLA MATIJA GUBEC;NOVI PERKOVCI;194;101;101;92;9;8;66;5;2;1;9;1
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;001;NAŠICE;KLUB CRVENOG KRIŽA NAŠICE;PETRA PRERADOVIĆA 2;1081;495;495;484;11;97;210;19;20;4;11;123
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;002;NAŠICE;GRADSKO DRUŠTVO CRVENOG KRIŽA NAŠICE;UL. KRALJA TOMISLAVA 6;479;235;235;227;8;56;121;5;3;1;8;33
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;003;NAŠICE;DOM HRVATSKE VOJSKE;TRG DR. FRANJE TUĐMANA 16;377;203;203;196;7;39;95;10;3;2;3;44
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;004;NAŠICE;"PROSTORIJE ""ELEKTROSLAVONIJE""";NAŠICE;451;228;228;219;9;53;98;9;9;1;5;44
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;005;NAŠICE;PROSTORIJE GRADSKE UDRUGE UMIROVLJENIKA;SOKOLSKA ULICA 2 (DVORIŠTE ZGRADE);758;397;397;375;22;91;159;12;15;3;10;85
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;006;NAŠICE;"PROSTORIJE ŠAHOVSKOG KLUBA ""SLAVONAC""";ULICA JOSIPA JURJA STROSSMAYERA 9;510;222;222;210;12;43;94;9;6;0;13;45
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;007;NAŠICE;OSNOVNA ŠKOLA KRALJA TOMISLAVA;ULICA MATICE HRVATSKE 1;804;379;379;366;13;95;178;6;15;3;11;58
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;008;NAŠICE;"PROSTORIJE ""NAŠIČKI VODOVOD"" D.O.O.";VATROSLAVA LISINSKOG 63;222;93;93;92;1;19;56;2;2;1;3;9
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;009;NAŠICE;"PROSTORIJE NK ""RADNIK"" ŠIPOVAC";NAŠICE;303;119;119;117;2;28;58;3;2;1;7;18
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;010;NAŠICE;PREDVORJE SREDNJE ŠKOLE;NAŠICE;620;335;335;321;14;86;158;10;9;3;6;49
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;011;NAŠICE;VIŠENAMJENSKA DVORANA SREDNJE ŠKOLE;NAŠICE;1083;506;506;487;19;120;222;21;18;6;14;86
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;012;MARKOVAC NAŠIČKI;"PROSTORIJE SLOVAČKO KULTURNO UMJETNIČKE UDRUGE ""FRANJO STRAPAČ""";MARKOVAC NAŠIČKI;697;318;318;313;5;89;140;24;9;0;6;45
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;013;MARKOVAC NAŠIČKI;PROSTORIJE DOBROVOLJNOG VATROGASNOG DRUŠTVA MARKOVAC NAŠIČKI;MARKOVAC NAŠIČKI;578;213;213;208;5;55;115;13;3;0;3;19
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;014;JELISAVAC;OSNOVNA ŠKOLA IVANA BRNJIKA SLOVAKA;JELISAVAC;725;310;310;297;13;66;149;38;5;2;13;24
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;015;JELISAVAC;KULTURNI CENTAR SLOVAKA;JELISAVAC;292;116;116;114;2;23;66;7;4;0;2;12
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;016;LAĐANSKA;OSNOVNA ŠKOLA;LAĐANSKA;226;110;110;104;6;15;81;1;1;0;2;4
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;017;LILA;DRUŠTVENI DOM;LILA;191;117;117;114;3;14;83;3;1;1;7;5
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;018;VELIMIROVAC;OSNOVNA ŠKOLA;VELIMIROVAC;910;376;376;364;12;40;240;8;8;2;9;57
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;019;VUKOJEVCI;OSNOVNA ŠKOLA;VUKOJEVCI;673;265;265;243;22;48;129;18;6;2;7;33
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;020;GRANICE;GLJIVARSKI DOM;GRANICE;96;39;39;39;0;2;34;0;0;1;1;1
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;021;MAKLOŠEVAC;DRUŠTVENI DOM;MAKLOŠEVAC;127;75;75;67;8;7;22;0;1;1;1;35
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;022;CEREMOŠNJAK;DRUŠTVENI DOM;CEREMOŠNJAK;73;43;43;43;0;3;26;1;0;0;0;13
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;023;LONDŽICA;DRUŠTVENI DOM KRAJ ŽELJEZNIČKE STANICE;LONDŽICA;149;77;77;77;0;2;47;2;0;0;1;25
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;024;GRADAC NAŠIČKI;DRUŠTVENI DOM;GRADAC NAŠIČKI;110;49;49;43;6;6;24;0;0;4;1;8
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;025;ZOLJAN;DRUŠTVENI DOM;ZOLJAN;560;227;227;222;5;41;138;3;8;1;5;26
