Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AKCIJA MLADIH - AM, UNIJA KVARNERA - UNIJA, ALTERNATIVA 101 - ALTERNATIVA;BURA;DOMOVINSKI POKRET - DP, HRVATSKA STRANKA PRAVA - HSP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;LISTA ZA RIJEKU - RI, KVARNERSKA INICIJATIVA - REGIONALNA PLATFORMA - KVARNERSKA, STRANKA UMIROVLJENIKA - SU;MOST;MOŽEMO! - POLITIÈKA PLATFORMA, NOVA LJEVICA - NL, ZELENA ALTERNATIVA - ODRŽIVI RAZVOJ HRVATSKE - Zelena alternativa - ORaH;RADNIÈKA FRONTA - RF;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  IVA RINÈIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, PRIMORSKO GORANSKI SAVEZ - PGS, ISTARSKI DEMOKRATSKI SABOR - IDS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA SELJAÈKA STRANKA - HSS
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KASTAV;006;KASTAV;PROSTORIJA DRUŠTVENOG DOMA BRAÆE MILIH (SUTEREN);RUBEŠI 65;959;373;373;368;5;45;5;12;95;12;22;16;10;16;135
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KASTAV;007;KASTAV;PROSTORIJA ŠKOLSKE SPORTSKE DVORANE;STRAŽNICA 2;856;353;353;341;12;61;4;16;46;12;10;18;15;12;147
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRALJEVICA;001;KRALJEVICA;I KAT - VIJEÆNICA;FRANKOPANSKA 1A;1167;593;593;570;23;50;4;46;209;25;14;36;10;14;162
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRALJEVICA;002;KRALJEVICA;DOM KULTURE I SPORTA, PROSTORIJA UDRUGE UMIROVLJENIKA;STROSSMAYEROVA 29;1186;523;523;506;17;26;3;32;178;14;17;35;11;30;160
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRALJEVICA;003;BAKARAC;PROSTORIJE DRUŠTVENOG DOMA;BAKARAC 8;265;140;140;139;1;14;1;4;47;7;3;4;6;7;46
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRALJEVICA;004;KRIŽIŠÆE;PROSTORIJE DRUŠTVENOG DOMA;KRIŽIŠÆE 27;386;210;210;202;8;19;5;8;83;13;6;4;8;9;47
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRALJEVICA;005;ŠMRIKA;"PROSTORIJE DRUŠTVENOG  DOMA ""IVICA TURINA""";BURIÆEVA 38;906;431;431;409;22;28;19;12;157;11;15;15;14;11;127
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;001;KRK;GALERIJA DECUMANUS;KRK, J.J.STROSSMAYERA BB;839;299;299;286;13;48;4;14;51;4;13;27;11;7;107
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;002;KRK;MALA VIJEÆNICA GRADA KRKA;KRK, TRG JOSIPA BANA JELAÈIÆA BR.2;728;278;278;267;11;40;3;16;42;6;6;18;14;26;96
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;003;KRK;VELIKA VIJEÆ. GRADA KRKA - I DIO;KRK, TRG JOSIPA BANA JELAÈIÆA BR.2;1008;413;413;396;17;59;4;19;80;12;11;28;11;19;153
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;004;KRK;VELIKA VIJEÆ. GRADA KRKA - II DIO;KRK, TRG JOSIPA BANA JELAÈIÆA BR.2;1138;421;421;412;9;61;1;10;71;14;18;29;18;9;181
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;005;KORNIÆ;MJESNI DOM KORNIÆ;KORNIÆ;566;190;190;181;9;41;6;1;26;9;6;8;6;9;69
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;006;VRH;MJESNI DOM VRH;VRH;860;261;261;251;10;39;6;6;58;9;9;16;4;13;91
