Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;MARKO BORAS MANDIÆ;GARI CAPPELLI;MARINKO KOLJANIN;ZLATKO KOMADINA;LEONARDO PAVELA;IVA RINÈIÆ
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;001;BIRAÈKO MJESTO BR. 1;PROSTORIJE MJESNOG ODBORA KLENOVICA;KLENOVICA, OMLADINSKI PRILAZ 2;528;258;258;252;6;4;126;4;100;7;11
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;002;BIRAÈKO MJESTO BR. 2;PROSTOR RECEPCIJE U BIVŠEM TURISTIÈKOM NASELJU POVILE;POVILE, M. BUTKOVIÆA BB;240;117;117;114;3;3;58;2;43;5;3
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;003;BIRAÈKO MJESTO BR. 3;PROSTORIJE BIVŠE OSNOVNE ŠKOLE DONJI ZAGON;DONJI ZAGON B.B.;120;72;72;67;5;2;32;2;29;0;2
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;004;BIRAÈKO MJESTO BR. 4;PROSTORIJE DOMA KULTURE LEDENICE;LEDENICE;161;124;124;117;7;2;87;2;24;1;1
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;005;BIRAÈKO MJESTO BR. 5;"PROSTORIJE ""DOMA KULTURE"" BATER";BATER BB;112;88;88;86;2;3;44;2;35;1;1
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;006;BIRAÈKO MJESTO BR. 6;PROSTORIJE VATROGASNOG DOMA NOVI VINODOLSKI;NOVI VINODOLSKI, VATROGASNA 2;467;235;235;228;7;8;94;1;120;2;3
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;007;BIRAÈKO MJESTO BR. 7;"PROSTORIJE ""MALE SALE DOMA KULTURE""";NOVI VINODOLSKI, KORZO HRVATSKIH BRANITELJA 1;733;413;413;392;21;13;199;4;143;13;20
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;008;BIRAÈKO MJESTO BR. 8;"PROSTORIJE OSNOVNE ŠKOLE ""IVAN MAŽURANIÆ""";NOVI VINODOLSKI, LOKVICA 2;734;374;374;355;19;16;157;2;154;8;18
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;009;BIRAÈKO MJESTO BR. 9;PROSTORIJE NARODNE ÈITAONICE I KNJIŽNICE NOVI VINODOLSKI;NOVI VINODOLSKI, TRG VINODOLSKOG ZAKONA 1;797;337;337;321;16;8;130;10;160;4;9
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;010;BIRAÈKO MJESTO BR. 10;"PROSTOR ""ADRIA TURIST""";NOVI VINODOLSKI, KRALJA TOMISLAVA 6;535;277;276;268;8;9;116;5;110;12;16
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;011;BIRAÈKO MJESTO BR. 11;"PROSTORIJE UPRAVNE ZGRADE ""ŠUMARIJE""";NOVI VINODOLSKI, KORZO HRVATSKIH BRANITELJA 39;583;261;261;257;4;8;117;5;114;2;11
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;001;OPATIJA;(PROSTORIJE MJESNOG ODBORA OPATIJA - TOŠINA);GIUSEPPE VERDI 23;839;402;402;387;15;72;72;16;166;10;51
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;002;OPATIJA;DOM LIBURNIJA (PROSTORIJE MOHO CENTRA);ANDRIJE ŠTANGERA 48;635;337;337;325;12;66;90;13;125;4;27
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;003;OPATIJA;(PROSTORIJE MJESNOG ODBORA  OPATIJA - KOSOVO);KOSIÆEVO 7;823;413;412;401;11;54;88;19;206;11;23
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;004;POBRI;(PROSTORIJE MJESNOG ODBORA POBRI);POBARSKA CESTA 3;1035;388;388;378;10;53;78;11;183;19;34
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;005;IKA;(DRUŠTVENI DOM IKA, PROSTORIJE MJESNOG ODBORA IKA);PRIMORSKA ULICA BB;1001;492;492;480;12;54;106;18;231;9;62
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;006;DOBREÆ;(ŠKOLA, PROSTORIJE MJESNOG ODBORA DOBREÆ);DOBREÆ BR. 20/C;352;153;153;145;8;20;29;4;75;0;17
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;007;VEPRINAC;(ETNO ZBIRKA VEPRINAC);VEPRINAC - STARI GRAD 5;936;437;437;429;8;55;70;12;227;13;52
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;008;POLJANE;(DRUŠTVENI DOM, PROSTORIJE MJESNOG ODBORA POLJANE);POLJANE 67;501;260;260;255;5;20;46;6;162;3;18
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;009;IÈIÆI;(OSNOVNA ŠKOLA, PROSTORIJE MJESNOG ODBORA IÈIÆI);LIBURNIJSKA CESTA 30;788;391;391;381;10;52;92;18;166;8;45
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;010;OPATIJA;(PROSTORIJE DJEÈJEG VRTIÆA PUNTA KOLOVA);ANTONA MIHIÆA 5/A;404;194;194;185;9;36;37;9;78;10;15
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;011;OPATIJA;(VILLA ANTONIO MEÐUNARODNI CENTAR ZA OBRAZOVANJE NOVINARA);NAZOROVA  BR. 2;909;462;462;449;13;90;80;26;185;14;54
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;012;OPATIJA;(PROSTORIJE MJESNOG ODBORA);J. RAKOVCA 15;604;292;292;281;11;48;70;10;127;5;21
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;013;OPATIJA;(PROSTORIJE MJESNOG ODBORA OPATIJA-CENTAR II);VRUTKI 6;849;368;368;360;8;57;79;21;151;11;41
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;014;OPATIJA;(GRADSKA VIJEÆNICA);M. TITA 3;681;345;344;336;8;51;73;12;155;12;33
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RAB;001;RAB;PROSTORIJA GRADSKE VIJEÆNICE GRADA RABA;RAB MUNICIPIUM ARBA 2;413;250;250;233;17;10;82;5;112;9;15
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RAB;002;SUPETARSKA DRAGA;PODRUÈNA ŠKOLA SUPETARSKA  DRAGA;SUPETARSKA DRAGA;1012;492;492;475;17;25;210;11;196;15;18
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RAB;003;MUNDANIJE;PODRUÈNA ŠKOLA MUNDANIJE;MUNDANIJE;442;258;258;243;15;17;107;3;99;8;9
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RAB;004;KAMPOR;PODRUÈNA ŠKOLA KAMPOR;KAMPOR;990;474;474;460;14;24;216;9;181;13;17
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RAB;005;PALIT;"O.Š.""IVANA RABLJANINA"" - UÈ. IV. RAZ";PALIT;1517;798;798;760;38;38;275;14;392;21;20
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RAB;006;BANJOL 2;PODRUÈNA ŠKOLA BANJOL;BANJOL;583;287;287;273;14;22;94;4;133;14;6
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RAB;007;BANJOL 1;"OŠ ""IVANA  RABLJANINA "" - UÈION. I.RAZ.";BANJOL;1154;658;658;613;45;32;255;13;257;26;30
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RAB;008;BARBAT;"PODRUÈNA ŠKOLA  ""BARBAT""";BARBAT;1108;548;548;521;27;45;193;4;238;23;18
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;001;COSTABELLA;PROSTORIJE MJESNOG ODBORA;ISTARSKA 50;1231;564;564;550;14;43;164;24;224;23;72
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;002;KANTRIDA;"OŠ ""KANTRIDA""";IZVIÐAÈKA 9;1209;508;508;488;20;58;113;36;201;7;73
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;003;KANTRIDA;"DOM  ""MIRKO ÈURBEG""";LOVRANSKA 10;1057;411;411;397;14;41;86;40;164;13;53
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;004;KANTRIDA;"OŠ ""KANTRIDA""";IZVIÐAÈKA 9;1045;465;465;450;15;42;100;41;203;19;45
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;005;ZAPADNI ZAMET;"OŠ ""ZAMET""";BOŽE VIDASA 12;934;367;367;358;9;43;80;22;141;13;59
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;006;ZAPADNI ZAMET;"OŠ ""ZAMET""";BOŽE VIDASA 12;1016;327;327;314;13;29;79;17;142;18;29
