Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;PETAR MAMULA;DUŠAN STIPANOVIĆ
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;012;GORNJI ZAMET;PROSTORIJE MJESNOG ODBORA GORNJI ZAMET;MILICE JADRANIĆ 2A;105;2;2;2;0;2;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;013;ZAMET;ŠPORTSKO DRUŠTVO ZAMET;OBITELJI SUŠANJ 2;98;5;5;5;0;3;2
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;014;ZAMET;ŠPORTSKO DRUŠTVO ZAMET;OBITELJI SUŠANJ 2;118;1;1;1;0;1;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;015;ZAMET;ŠPORTSKO DRUŠTVO ZAMET;OBITELJI SUŠANJ 2;71;1;1;1;0;1;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;016;SRDOČI;PROSTORIJE MJESNOG ODBORA;MIROSLAVA KRLEŽE 4;88;4;4;4;0;4;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;017;SRDOČI;"OSNOVNA ŠKOLA ""SRDOČI""";ANTE MODRUŠANA 33;81;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;018;SRDOČI;"OSNOVNA ŠKOLA ""SRDOČI""";ANTE MODRUŠANA 33;92;8;8;8;0;4;4
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;019;SRDOČI;"OSNOVNA ŠKOLA ""SRDOČI""";ANTE MODRUŠANA 33;92;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;020;GRBCI;PROSTORIJE MJESNOG ODBORA;DRAŽIČKA 4;108;6;6;6;0;5;1
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;021;PEHLIN;"OŠ ""PEHLIN""";PEHLIN 34;112;2;2;2;0;2;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;022;PEHLIN;"OŠ ""PEHLIN""";PEHLIN 34;98;1;1;1;0;1;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;023;PEHLIN;"OŠ ""PEHLIN""";PEHLIN 34;77;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;024;PEHLIN;"OŠ ""PEHLIN""";PEHLIN 34;48;0;0;0;0;0;0
