Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;IGOR ANDROVIÆ;DANIEL SPAJIÆ;MATE VUKUŠIÆ
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;ÈAÈINCI;001;ÈAÈINCI;OSNOVNA ŠKOLA A.G.MATOŠA;ÈAÈINCI, TRG KARDINALA FRANJE KUHARIÆA 3;470;216;216;209;7;145;27;37
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;ÈAÈINCI;002;ÈAÈINCI;VIJEÆNICA OPÆINE ÈAÈINCI;TRG KARDINALA FRANJE KUHARIÆA 2;474;245;245;244;1;170;20;54
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;ÈAÈINCI;003;ÈAÈINCI;ZGRADA ŠUMARIJE;ÈAÈINCI, FRANJE JUSUPA 2;750;353;353;332;21;226;42;64
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;ÈAÈINCI;004;BUKVIK;DRUŠTVENI DOM BUKVIK;OMERA ŠILOVIÆA BB;136;68;68;68;0;58;9;1
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;ÈAÈINCI;005;BREZOVLJANI VOJLOVIÈKI;DRUŠTVENI DOM;BREZOVLJANI VOJLOVIÈKI BB;55;28;28;28;0;24;2;2
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;ÈAÈINCI;006;PAUŠINCI;DRUŠTVENI DOM;PAUŠINCI, JOSIPA JURENCA BB;137;91;91;82;9;70;7;5
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;ÈAÈINCI;007;HUMLJANI;PODRUÈNA ŠKOLA;HUMLJANI BB;121;62;62;62;0;49;5;8
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;ÈAÈINCI;008;SLATINSKI DRENOVAC;CENTAR ZA POSJETITELJE JU PARK PRIRODE PAPUK;SLATINSKI DRENOVAC, TRG BANA JELAÈIÆA 2;98;19;19;19;0;14;1;4
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;ÈAÐAVICA;001;ÈAÐAVICA;VIJEÆNICA OPÆINSKOG VIJEÆA;KOLODVORSKA 2;540;328;328;318;10;223;65;30
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;ÈAÐAVICA;002;ÈAÐAVIÈKI LUG;MJESNI DOM;ÈAÐAVIÈKI LUG;265;146;146;142;4;110;19;13
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;ÈAÐAVICA;003;ZVONIMIROVAC;VATROGASNI DOM;ZVONIMIROVAC;199;130;130;125;5;100;16;9
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;ÈAÐAVICA;004;DONJE BAZIJE;MJESNI DOM;DONJE BAZIJE;105;68;68;63;5;46;6;11
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;ÈAÐAVICA;005;ŠAŠEVO;MJESNI DOM;ŠAŠEVO;84;61;61;59;2;33;22;4
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;ÈAÐAVICA;006;STARIN;VATROGASNI DOM;STARIN;65;39;39;37;2;26;7;4
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;ÈAÐAVICA;007;VRANEŠEVCI;MJESNI DOM;VRANEŠEVCI;101;65;65;61;4;45;4;12
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;ÈAÐAVICA;008;NOSKOVCI;MJESNI DOM;NOSKOVCI;181;99;99;96;3;70;14;12
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;GRADINA;001;GRADINA;VATROGASNI DOM GRADINA (SALA);TRG HRVATSKIH BRANITELJA 1;494;279;279;267;12;140;107;20
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;GRADINA;002;GRADINA;VATROGASNI DOM GRADINA (PRIJAŠNJE PROSTORIJE OPÆINE);TRG HRVATSKIH BRANITELJA 1;231;148;148;146;2;86;49;11
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;GRADINA;003;BAÈEVAC;PODRUÈNA ŠKOLA BAÈEVAC;BAÈEVAC 67;313;168;168;161;7;108;44;9
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;GRADINA;004;BREZOVICA;DRUŠTVENI DOM BREZOVICA;BREZOVICA, STJEPANA RADIÆA 2;433;243;243;234;9;159;54;21
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;GRADINA;005;BUDAKOVAC;DRUŠTVENI DOM BUDAKOVAC;ÈOROVA 43;237;102;102;98;4;70;21;7
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;GRADINA;006;DETKOVAC;DRUŠTVENI DOM DETKOVAC;DETKOVAC 99;230;128;128;118;10;80;23;15
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;GRADINA;007;LIPOVAC;DOM KULTURE LIPOVAC;ALOJZIJA STEPINCA 10;218;97;97;88;9;31;47;10
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;GRADINA;008;LUG GRADINSKI;PODRUÈNA ŠKOLA LUG GRADINSKI;LUG GRADINSKI 85;62;47;47;44;3;33;9;2
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;GRADINA;009;NOVI GRADAC;DRUŠTVENI DOM NOVI GRADAC;NOVI GRADAC 48;124;64;64;63;1;56;4;3
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;GRADINA;010;RUŠANI;PODRUÈNA ŠKOLA RUŠANI;RUŠANI 83;370;217;217;206;11;134;60;12
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;GRADINA;011;ŽLEBINA;DRUŠTVENI DOM ŽLEBINA;ZDENKA SABOLIÆA 3;232;118;118;104;14;74;19;11
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;LUKAÈ;001;TEREZINO POLJE;DRUŠTVENI DOM;TEREZINO POLJE;352;183;183;175;8;110;19;46
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;LUKAÈ;002;VELIKO POLJE;OSNOVNA ŠKOLA;VELIKO POLJE;103;45;45;41;4;26;7;8
