Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP, MOST, HRVATSKA STRANKA UMIROVLJENIKA - HSU, STRANKA UMIROVLJENIKA - SU, ZELENA LISTA;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;HRVATSKA SELJAČKA STRANKA - HSS, SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;HRVATSKA STRANKA PRAVA - HSP;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA STRANKA PRAVNE DRŽAVE - HSPD
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;GRADINA;005;BUDAKOVAC;DRUŠTVENI DOM BUDAKOVAC;ČOROVA 43;237;102;102;99;3;24;61;7;1;6
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;GRADINA;006;DETKOVAC;DRUŠTVENI DOM DETKOVAC;DETKOVAC 99;230;128;128;117;11;33;61;18;0;5
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;GRADINA;007;LIPOVAC;DOM KULTURE LIPOVAC;ALOJZIJA STEPINCA 10;218;97;97;88;9;52;13;18;2;3
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;GRADINA;008;LUG GRADINSKI;PODRUČNA ŠKOLA LUG GRADINSKI;LUG GRADINSKI 85;62;47;47;45;2;11;31;2;1;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;GRADINA;009;NOVI GRADAC;DRUŠTVENI DOM NOVI GRADAC;NOVI GRADAC 48;124;61;61;60;1;10;48;1;1;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;GRADINA;010;RUŠANI;PODRUČNA ŠKOLA RUŠANI;RUŠANI 83;370;216;216;205;11;84;92;20;0;9
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;GRADINA;011;ŽLEBINA;DRUŠTVENI DOM ŽLEBINA;ZDENKA SABOLIĆA 3;232;118;118;108;10;18;57;25;0;8
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;001;TEREZINO POLJE;DRUŠTVENI DOM;TEREZINO POLJE;352;183;183;173;10;25;85;6;4;53
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;002;VELIKO POLJE;OSNOVNA ŠKOLA;VELIKO POLJE;103;45;45;41;4;10;20;0;0;11
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;003;VELIKO POLJE;DRUŠTVENI DOM;VELIKO POLJE;157;46;46;46;0;12;18;2;1;13
